[2020-02-06 14:58:55,316] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2020-02-06 14:59:13,982] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2020-02-06 14:59:14,067] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 2 and epoch zk version is now 2 (kafka.controller.KafkaController)
[2020-02-06 14:59:14,068] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2020-02-06 14:59:14,071] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2020-02-06 14:59:14,077] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2020-02-06 14:59:14,082] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2020-02-06 14:59:14,120] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 44) (kafka.controller.KafkaController)
[2020-02-06 14:59:14,123] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2020-02-06 14:59:14,128] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2020-02-06 14:59:14,183] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2020-02-06 14:59:14,183] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2020-02-06 14:59:14,184] INFO [Controller id=0] Currently shutting brokers in the cluster: HashSet() (kafka.controller.KafkaController)
[2020-02-06 14:59:14,184] INFO [Controller id=0] Current list of topics in the cluster: Set() (kafka.controller.KafkaController)
[2020-02-06 14:59:14,184] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2020-02-06 14:59:14,186] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2020-02-06 14:59:14,187] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2020-02-06 14:59:14,187] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2020-02-06 14:59:14,187] INFO [Topic Deletion Manager 0] Initializing manager with initial deletions: Set(), initial ineligible deletions: Set() (kafka.controller.TopicDeletionManager)
[2020-02-06 14:59:14,188] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2020-02-06 14:59:14,200] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ZkReplicaStateMachine)
[2020-02-06 14:59:14,201] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ZkReplicaStateMachine)
[2020-02-06 14:59:14,208] INFO [ReplicaStateMachine controllerId=0] Triggering offline replica state changes (kafka.controller.ZkReplicaStateMachine)
[2020-02-06 14:59:14,212] DEBUG [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> HashMap() (kafka.controller.ZkReplicaStateMachine)
[2020-02-06 14:59:14,214] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.ZkPartitionStateMachine)
[2020-02-06 14:59:14,216] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.ZkPartitionStateMachine)
[2020-02-06 14:59:14,222] INFO [RequestSendThread controllerId=0] Controller 0 connected to TiN:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2020-02-06 14:59:14,222] DEBUG [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> HashMap() (kafka.controller.ZkPartitionStateMachine)
[2020-02-06 14:59:14,222] INFO [Controller id=0] Ready to serve as the new controller with epoch 2 (kafka.controller.KafkaController)
[2020-02-06 14:59:14,232] INFO [Controller id=0] Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2020-02-06 14:59:14,233] INFO [Controller id=0] Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2020-02-06 14:59:14,235] INFO [Controller id=0] Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2020-02-06 14:59:14,236] INFO [Controller id=0] Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2020-02-06 14:59:14,237] INFO [Controller id=0] Starting replica leader election (PREFERRED) for partitions  triggered by ZkTriggered (kafka.controller.KafkaController)
[2020-02-06 14:59:14,296] INFO [Controller id=0] Starting the controller scheduler (kafka.controller.KafkaController)
[2020-02-06 14:59:19,298] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2020-02-06 14:59:19,299] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2020-02-06 14:59:19,300] DEBUG [Controller id=0] Preferred replicas by broker HashMap() (kafka.controller.KafkaController)
[2020-02-06 15:04:19,302] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2020-02-06 15:04:19,306] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2020-02-06 15:04:19,306] DEBUG [Controller id=0] Preferred replicas by broker HashMap() (kafka.controller.KafkaController)
[2020-02-06 15:09:15,325] INFO [Controller id=0] New topics: [Set(web_log)], deleted topics: [Set()], new partition replica assignment [Map(web_log-0 -> ReplicaAssignment(replicas=0, addingReplicas=, removingReplicas=))] (kafka.controller.KafkaController)
[2020-02-06 15:09:15,326] INFO [Controller id=0] New partition creation callback for web_log-0 (kafka.controller.KafkaController)
[2020-02-06 15:09:15,472] INFO [RequestSendThread controllerId=0] Controller 0 connected to TiN:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2020-02-06 15:09:19,307] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2020-02-06 15:09:19,307] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2020-02-06 15:09:19,307] DEBUG [Controller id=0] Preferred replicas by broker HashMap(0 -> Map(web_log-0 -> List(0))) (kafka.controller.KafkaController)
[2020-02-06 15:09:19,308] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2020-02-06 15:09:19,309] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2020-02-06 15:14:19,312] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2020-02-06 15:14:19,312] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2020-02-06 15:14:19,312] DEBUG [Controller id=0] Preferred replicas by broker HashMap(0 -> Map(web_log-0 -> List(0))) (kafka.controller.KafkaController)
[2020-02-06 15:14:19,313] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2020-02-06 15:14:19,313] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2020-02-06 15:19:19,315] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2020-02-06 15:19:19,315] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2020-02-06 15:19:19,316] DEBUG [Controller id=0] Preferred replicas by broker HashMap(0 -> Map(web_log-0 -> List(0))) (kafka.controller.KafkaController)
[2020-02-06 15:19:19,316] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2020-02-06 15:19:19,317] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2020-02-06 15:24:19,318] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2020-02-06 15:24:19,318] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2020-02-06 15:24:19,318] DEBUG [Controller id=0] Preferred replicas by broker HashMap(0 -> Map(web_log-0 -> List(0))) (kafka.controller.KafkaController)
[2020-02-06 15:24:19,319] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2020-02-06 15:24:19,319] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2020-02-06 15:26:54,765] INFO [Controller id=0] Shutting down broker 0 (kafka.controller.KafkaController)
[2020-02-06 15:26:54,766] DEBUG [Controller id=0] All shutting down brokers: 0 (kafka.controller.KafkaController)
[2020-02-06 15:26:54,766] DEBUG [Controller id=0] Live brokers:  (kafka.controller.KafkaController)
[2020-02-06 15:26:54,769] TRACE [Controller id=0] All leaders = web_log-0 -> (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:2) (kafka.controller.KafkaController)
[2020-02-06 15:26:55,965] INFO [ControllerEventThread controllerId=0] Shutting down (kafka.controller.ControllerEventManager$ControllerEventThread)
